filename,split,row_idx,label,n_symbols
train/train_0000_00.png,train,0,ᮄ ᮞᮥ ᮊ᮪ <sp> ᮄ ᮞᮥ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮍ ᮞᮂ <sp> ᮘᮨ ᮓᮧ ᮌ᮪ <sp> ᮒ ᮑ,20
train/train_0000_01.png,train,0,ᮄ ᮞᮥ ᮊ᮪ <sp> ᮄ ᮞᮥ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮍ ᮞᮂ <sp> ᮘᮨ ᮓᮧ ᮌ᮪ <sp> ᮒ ᮑ,20
train/train_0000_02.png,train,0,ᮄ ᮞᮥ ᮊ᮪ <sp> ᮄ ᮞᮥ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮍ ᮞᮂ <sp> ᮘᮨ ᮓᮧ ᮌ᮪ <sp> ᮒ ᮑ,20
train/train_0000_03.png,train,0,ᮄ ᮞᮥ ᮊ᮪ <sp> ᮄ ᮞᮥ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮍ ᮞᮂ <sp> ᮘᮨ ᮓᮧ ᮌ᮪ <sp> ᮒ ᮑ,20
train/train_0000_04.png,train,0,ᮄ ᮞᮥ ᮊ᮪ <sp> ᮄ ᮞᮥ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮍ ᮞᮂ <sp> ᮘᮨ ᮓᮧ ᮌ᮪ <sp> ᮒ ᮑ,20
train/train_0000_05.png,train,0,ᮄ ᮞᮥ ᮊ᮪ <sp> ᮄ ᮞᮥ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮍ ᮞᮂ <sp> ᮘᮨ ᮓᮧ ᮌ᮪ <sp> ᮒ ᮑ,20
train/train_0000_06.png,train,0,ᮄ ᮞᮥ ᮊ᮪ <sp> ᮄ ᮞᮥ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮍ ᮞᮂ <sp> ᮘᮨ ᮓᮧ ᮌ᮪ <sp> ᮒ ᮑ,20
train/train_0000_07.png,train,0,ᮄ ᮞᮥ ᮊ᮪ <sp> ᮄ ᮞᮥ ᮊ᮪ <sp> ᮌᮩ ᮞ᮪ <sp> ᮍ ᮞᮂ <sp> ᮘᮨ ᮓᮧ ᮌ᮪ <sp> ᮒ ᮑ,20
train/train_0001_00.png,train,1,ᮕ ᮙ ᮏᮤ ᮊ ᮔ ᮔ <sp> ᮛᮦ ᮊ᮪ <sp> ᮔ ᮇ ᮔ᮪ <sp> ᮃ ᮒᮥᮂ <sp> ᮘ ᮕ ᮔ,20
train/train_0001_01.png,train,1,ᮕ ᮙ ᮏᮤ ᮊ ᮔ ᮔ <sp> ᮛᮦ ᮊ᮪ <sp> ᮔ ᮇ ᮔ᮪ <sp> ᮃ ᮒᮥᮂ <sp> ᮘ ᮕ ᮔ,20
train/train_0001_02.png,train,1,ᮕ ᮙ ᮏᮤ ᮊ ᮔ ᮔ <sp> ᮛᮦ ᮊ᮪ <sp> ᮔ ᮇ ᮔ᮪ <sp> ᮃ ᮒᮥᮂ <sp> ᮘ ᮕ ᮔ,20
train/train_0001_03.png,train,1,ᮕ ᮙ ᮏᮤ ᮊ ᮔ ᮔ <sp> ᮛᮦ ᮊ᮪ <sp> ᮔ ᮇ ᮔ᮪ <sp> ᮃ ᮒᮥᮂ <sp> ᮘ ᮕ ᮔ,20
