filename,source_file,label,n_symbols,latin_source
wikipedia_sunda/wikisu_00155.png,2008.txt,ᮓᮨ ᮎᮨ ᮙ᮪ ᮘᮨᮁ <sp> ᮲ ᮵ <sp> ᮎ᮪ ᮠᮢᮤ ᮞ᮪ ᮒ᮪ ᮙ ᮞ᮪ <sp> ᮄ ᮔ᮪ <sp> ᮝᮨ ᮞ᮪ ᮒᮨᮁ ᮔ᮪ <sp> ᮎ᮪ ᮠᮢᮤ ᮞ᮪ ᮒᮤ ᮃ ᮔᮤ ᮒ᮪ ᮚ᮪,31,December 25 - Christmas in Western Christianity
wikipedia_sunda/wikisu_00156.png,2008.txt,ᮞ᮪ ᮕᮣᮤ ᮔ᮪ ᮒᮨᮁ <sp> ᮎᮨ ᮜ᮪ ᮜ᮪ <sp> ᮞᮨ ᮛᮤ ᮈ ᮞ᮪ <sp> ᮞ ᮙ᮪ <sp> ᮖᮤ ᮞ᮪ ᮠᮨᮁ <sp> ᮌᮧ ᮈ ᮞ᮪ <sp> ᮅ ᮔ᮪ ᮓᮨᮁ ᮎᮧ ᮗᮨᮁ,30,Splinter Cell series: Sam Fisher goes undercover.
wikipedia_sunda/wikisu_00157.png,2008.txt,ᮒ᮪ ᮝᮤ ᮞ᮪ ᮒᮨ ᮓ᮪ <sp> ᮙᮨ ᮒ ᮜ᮪ <sp> ᮳ <sp> ᮱ ᮹ ᮹ ᮸,16,Twisted Metal 3 (1998)
wikipedia_sunda/wikisu_00158.png,2008.txt,ᮞ᮪ ᮠ ᮒ᮪ ᮒᮨ ᮛᮨ ᮓ᮪ <sp> ᮅ ᮔᮤ ᮇ ᮔ᮪ <sp> ᮲ ᮰ ᮰ ᮵ <sp> ᮅ <sp> ᮞ᮪,20,Shattered Union (2005): U.S.
wikipedia_sunda/wikisu_00159.png,2008.txt,ᮛᮨ ᮞᮤ ᮓᮨ ᮔ᮪ ᮒ᮪ <sp> ᮈ ᮗᮤ ᮜ᮪ <sp> ᮵ <sp> ᮲ ᮰ ᮰ ᮹,16,Resident Evil 5 (2009)
wikipedia_sunda/wikisu_00160.png,2008.txt,ᮓᮨ ᮗᮤ ᮜ᮪ <sp> ᮙ ᮚ᮪ <sp> ᮎ᮪ ᮛ᮪ ᮚ᮪ <sp> ᮴,12,Devil May Cry 4
wikipedia_sunda/wikisu_00161.png,2008.txt,ᮞᮤ ᮜᮨ ᮔ᮪ ᮒ᮪ <sp> ᮛᮥ ᮔ᮪ ᮔᮤᮀ <sp> ᮱ ᮹ ᮷ ᮱,13,Silent Running (1971)
wikipedia_sunda/wikisu_00162.png,2008.txt,ᮞᮧ ᮅ ᮒ᮪ ᮠᮣ ᮔ᮪ ᮓ᮪ <sp> ᮒ ᮜᮨ ᮞ᮪ <sp> ᮲ ᮰ ᮰ ᮷,15,Southland Tales (2007)
wikipedia_sunda/wikisu_00051.png,2008.txt,ᮃ ᮘ ᮓ᮪ <sp> ᮃ ᮘ ᮓ᮪ <sp> ᮊ <sp> ᮲ ᮰ <sp> ᮃ ᮘ ᮓ᮪ <sp> ᮊ <sp> ᮲ ᮱ <sp> ᮃ ᮘ ᮓ᮪ <sp> ᮊ <sp> ᮲ ᮲,30,Abad: Abad ka-20 • Abad ka-21 • Abad ka-22
wikipedia_sunda/wikisu_00052.png,2008.txt,ᮒ ᮅ ᮔ᮪ <sp> ᮲ ᮰ ᮰ ᮶ <sp> ᮲ ᮰ ᮰ ᮷ <sp> ᮲ ᮰ ᮰ ᮸ <sp> ᮲ ᮰ ᮰ ᮹ <sp> ᮲ ᮰ ᮱ ᮰,28,Taun: ◄ • 2006 • 2007 • 2008 • 2009 • 2010 • ►
